date	Statisztikából kieső késedelmes hitelállomány (bal tengely)	Egy éven túli késedelmes hitelállomány (jobb tengely)
2009 03	16.3	32.894
2009 06	26.86	32.961
2009 09	28.339	42.211
2009 12	21.329	57.714
2010 03	10.928	69.493
2010 06	10.865	81.136
2010 09	4.436	92.786
2010 12	7.785	107.886
2011 03	7.117	114.04
2011 06	8.422	133.972
2011 09	9.213	162.046
2011 12	137.3768839	210.568
2012 03	131.997	227.598
2012 06	11.033	239.777
2012 09	21.014	232.201
2012 12	10.735	253.819
2013 03	10.894	274.972
2013 06	16.454	274.147
2013 09	17.122	289.316
2013 12	17.03	305.27
2014 03	7.976	333.101
2014 06	15.66	336.844
2014 09	2.951	350.633
2014 12	12.98	351.674
2015 03	2.755	297.165
2015 06	6.012	290.642
2015 09	8.97	285.739
2015 12	15.789	262.896
2016 03	13.824	262.421
2016 06	11.271	285.982
2016 09	12.432	270.323
2016 12	62.381	208.467
2017 03	8.862	161.901
2017 06	24.304	131.443
2017 09	6.673	120.016
2017 12	14.99	108.788
2018 03	23.312	75.717
